ID,Address,Beds,Bath,Area,Date,Action,Amount,Rate_sqft,Source
154,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",05/25/2006,Sold,"$910,000",$455,Public Record
155,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",11-04-2004,Sold,"$740,000",$370,Public Record
156,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",05/29/1987,Sold,"$210,000",$105,Public Record
157,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",10-09-2020,Listed,"$1,480,000",$741,MLSListings
158,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",05/25/2006,Sold,"$910,000",$455,Public Record
159,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",11-04-2004,Sold,"$740,000",$370,Public Record
160,1317-Crossgates-Ln_San-Jose_CA_95120_M18495-45431,4bed,2.5bath,"1,997sqft",05/29/1987,Sold,"$210,000",$105,Public Record
161,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",10-08-2020,Listed,"$1,058,000",$640,MLSListings
162,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",08/15/2008,Sold,"$570,000",$345,Public Record
163,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",10/17/2003,Sold,"$470,000",$284,Public Record
164,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",05/26/1995,Sold,"$227,500",$137,Public Record
165,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",10-08-2020,Listed,"$1,058,000",$640,MLSListings
166,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",08/15/2008,Sold,"$570,000",$345,Public Record
167,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",10/17/2003,Sold,"$470,000",$284,Public Record
168,1840-Northwest-Cir_San-Jose_CA_95131_M17635-09742,3bed,2.5bath,"1,651sqft",05/26/1995,Sold,"$227,500",$137,Public Record
169,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",10-08-2020,Listed,"$724,888",$705,MLSListings
170,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",07/28/2015,Sold,"$625,000",$608,MLSListings
171,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",05-11-2015,Listed,"$599,000",$583,MLSListings
172,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",05-11-2015,Listed,"$599,000",$583,MLSListings
173,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",05-04-2000,Sold,"$330,000",$321,Public Record
174,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",04/29/1998,Sold,"$216,000",$210,Public Record
175,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",10-08-2020,Listed,"$724,888",$705,MLSListings
176,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",07/28/2015,Sold,"$625,000",$608,MLSListings
177,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",05-11-2015,Listed,"$599,000",$583,MLSListings
178,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",05-11-2015,Listed,"$599,000",$583,MLSListings
179,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",05-04-2000,Sold,"$330,000",$321,Public Record
180,765-Toyon-Ave_San-Jose_CA_95127_M23289-49036,3bed,1bath,"1,027sqft",04/29/1998,Sold,"$216,000",$210,Public Record
